Customer Remarks,category,cleaned_remarks,category_encoded
Delivery boy ka bhiver improve kre,Feedback,delivery boy ka bhiver improve kre,2
Thank you ,Payments related,thank you,7
The   is responsible for the worthless item supplied to Shopzilla a reputed online shopping platform. The seller spoiling GOODWILL OF Shopzilla. DO NOT ENTERTAIN THE SELLER!,Returns,the is responsible for the worthless item supplied to shopzilla a reputed online shopping platform the seller spoiling goodwill of shopzilla do not entertain the seller,10
"Very poor delivery service, not receiving product since last 3 days. Doing  mental torture from Shopzilla agent ",Order Related,very poor delivery service not receiving product since last 3 days doing mental torture from shopzilla agent,5
Direct Toll free number statewise or area wise must b there ,Returns,direct toll free number statewise or area wise must b there,10
Thnx,Returns,thnx,10
Hope my problem resolve this time.,Returns,hope my problem resolve this time,10
Always custemer suport,Returns,always custemer suport,10
I called 2 times for my query but both the time after telling me to to on hold the call was disconnected.If this is the customer care service you are providing then continuing as the customer of Shopzilla is not beneficial.,Payments related,i called 2 times for my query but both the time after telling me to to on hold the call was disconnectedif this is the customer care service you are providing then continuing as the customer of shopzilla is not beneficial,7
Very bad Shopzilla service support executive ,Shopzilla Related,very bad shopzilla service support executive,11
My problem not solve ,Feedback,my problem not solve,2
Excellent ,Returns,excellent,10
Without OTP how to delivered product delivery man,Order Related,without otp how to delivered product delivery man,5
it's good,Payments related,its good,7
Good,Returns,good,10
Hi,Returns,hi,10
I had ordered my mobile on wrong address.so i had to cancelled my order as there was no other option to change address after ordered completed..so i request to Shopzilla team to work on this to make option to change address after ordered ,Cancellation,i had ordered my mobile on wrong addressso i had to cancelled my order as there was no other option to change address after ordered completedso i request to shopzilla team to work on this to make option to change address after ordered,1
Nice taking behaviour ,Payments related,nice taking behaviour,7
Very supportive customer executive  ,Order Related,very supportive customer executive,5
Please provide adequate options in ur message chat,Shopzilla Related,please provide adequate options in ur message chat,11
Mst,Returns,mst,10
Exilent,Returns,exilent,10
Need resolution ,Order Related,need resolution,5
The information provided by you is incomplete and the customer is losing due to lack of complete information,Returns,the information provided by you is incomplete and the customer is losing due to lack of complete information,10
I am very happy with you sir you talking very nyc sir Mr.   ,Returns,i am very happy with you sir you talking very nyc sir mr,10
    bana rahe ho,Product Queries,bana rahe ho,8
Worst service I ever experience ,Returns,worst service i ever experience,10
Product  not match,Returns,product not match,10
???? ?? ????? ?? ??? ?? ?? ???? ?? ????? ?? ?????? ?? ??????? ??? ??????? ?? thanks Shopzilla ??,Order Related,thanks shopzilla,5
Direct Shopzilla need to contact   if any issue having customer to resolved it.,Order Related,direct shopzilla need to contact if any issue having customer to resolved it,5
ORDER RETURN POLICY,Returns,order return policy,10
Customer service support disconnected my call while we were on hold,Feedback,customer service support disconnected my call while we were on hold,2
Good,Returns,good,10
No,Returns,no,10
Bad,Order Related,bad,5
"Very bed service, box package not  satisfy, don't buy other products... ",Order Related,very bed service box package not satisfy dont buy other products,5
She doesn\u2019t have sense of humour to take calls of customers and not good to understand query needs a proper training to deal with customers and bad in communication also she requires more time to solve queries ,Returns,she doesnu2019t have sense of humour to take calls of customers and not good to understand query needs a proper training to deal with customers and bad in communication also she requires more time to solve queries,10
Customer support not able to help since system was slow to him,Shopzilla Related,customer support not able to help since system was slow to him,11
Try to resolve the problem fast,Refund Related,try to resolve the problem fast,9
Good,Feedback,good,2
Bad experience ,Returns,bad experience,10
Very good job ,Returns,very good job,10
Thanku,Order Related,thanku,5
  helped me solve... thanks,Returns,helped me solve thanks,10
Very bed,Order Related,very bed,5
Good ,Order Related,good,5
Very good ,Cancellation,very good,1
Very good.,Returns,very good,10
Support was very good and politely behavior,Returns,support was very good and politely behavior,10
Good ,Order Related,good,5
App cancelation policy should be available ,Cancellation,app cancelation policy should be available,1
Good guy,Feedback,good guy,2
Resolve customer problem quickly and donot harras customer,Returns,resolve customer problem quickly and donot harras customer,10
"From the orders page, the Need help button doesn't work. I had to use the generic help section to get to a support executive.",Order Related,from the orders page the need help button doesnt work i had to use the generic help section to get to a support executive,5
